Sample,Mineralogy,Material,N,D47,D47error
Ab-1,Aragonite,1,3,0.7679185,0.006014206
Ab-1,Aragonite,1,3,0.76607542,0.003810004
Ab-1,Aragonite,1,3,0.74889223,0.011662776
Ac-1_B-12,Aragonite,1,6,0.77348394,0.00113709
Ac-1_B-12,Aragonite,1,3,0.77808716,0.003093997
Ac-2,Aragonite,1,3,0.74983746,0.006458471
Brach-m1,Calcite,1,3,0.75385961,0.001437371
Brach-m1,Calcite,1,3,0.76021853,0.008597098
Cc-1_B-12,Aragonite,1,3,0.75197465,0.006084539
